t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-11-15T15:01:00Z,b,SE,37.84,out,no_action,26720.240790256386,,43.315508021390386,-0.03249308712025083,-0.0009072111198790237,0.5436823801957139,0.05000000000000426,0.05000000000000426,-0.0,0.03375000000000009,0.044166666666666764,,
2023-11-15T15:02:00Z,b,SE,37.8525,out,no_action,26720.240790256386,,43.7665782493369,-0.028361393849231486,-0.0037158051309032305,0.5521434165469138,0.012499999999995737,0.012499999999995737,-0.0,0.03437500000000012,0.044166666666666764,,
2023-11-15T15:03:00Z,b,SE,37.7812,out,no_action,26720.240790256386,,33.469794202257205,-0.024132229439446394,-0.006248475345363241,0.5038816651996528,-0.07130000000000081,0.0,0.07130000000000081,0.0252083333333335,0.0501083333333335,,
2023-11-15T15:04:00Z,b,SE,38.1066,out,no_action,26720.240790256386,,51.07802457082412,-0.00012725398672208676,-0.007205512568199281,0.7241393634941636,0.3254000000000019,0.3254000000000019,-0.0,0.05231666666666671,0.0501083333333335,,
2023-11-15T15:05:00Z,b,SE,38.1149,out,no_action,26720.240790256386,,48.2752688172042,0.013272320061950671,-0.007652537322087843,0.7297574916313612,0.00829999999999842,0.00829999999999842,-0.0,0.04676666666666662,0.0501083333333335,,
2023-11-15T15:06:00Z,b,SE,38.06,out,no_action,26720.240790256386,,49.12464985994414,0.023154810520155333,-0.008216606412168,0.6925966199768812,-0.054899999999996396,0.0,0.054899999999996396,0.04676666666666662,0.04843333333333296,,
2023-11-15T15:07:00Z,b,SE,38.02,out,no_action,26720.240790256386,,52.82379518072302,0.028705250366544456,-0.0075115200495677785,0.6655213036530331,-0.03999999999999915,0.0,0.03999999999999915,0.04676666666666662,0.04176666666666643,,
2023-11-15T15:08:00Z,b,SE,38.255,out,no_action,26720.240790256386,,60.60987110971407,0.04447932965681893,-0.004573660205400139,0.824588787055644,0.23499999999999943,0.23499999999999943,-0.0,0.0642666666666667,0.04176666666666643,,
2023-11-15T15:09:00Z,b,SE,38.35,out,no_action,26720.240790256386,,68.07607670543861,0.03870687221657436,-0.001424274452452449,0.8888926633247839,0.09499999999999886,0.09499999999999886,-0.0,0.07218333333333327,0.03384999999999986,,
2023-11-15T15:10:00Z,b,SE,38.4401,out,no_action,26720.240790256386,,70.18715596330281,0.0387149948114716,0.0010209650530451642,0.949879813344253,0.09009999999999962,0.09009999999999962,-0.0,0.07969166666666656,0.03384999999999986,,
2023-11-15T15:11:00Z,b,SE,38.569,long,buy_next_long_position,26720.240790256386,,86.71887486015689,0.04653976122906391,0.006976594529141751,1.0371300201978566,0.12890000000000157,0.12890000000000157,-0.0,0.09043333333333337,0.013849999999999696,,
